released_year,streams,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,season,bpm_category,charted_on_spotify
2023,120972253,A#,Minor,68,83,71,3,0,31,8,winter,1,True
2022,338564981,E,Minor,41,9,25,84,1,14,4,summer,3,True
2014,1606986953,F,Major,68,50,49,56,0,8,4,winter,1,True
2020,1301799902,F,Major,47,25,43,62,0,32,3,spring,1,True
2022,140187018,G#,Minor,77,65,80,6,0,15,4,winter,2,True
2017,1897517891,A,Minor,79,59,86,4,0,8,11,summer,2,True
2023,107642809,A#,Minor,71,83,89,1,0,17,9,winter,2,False
2022,551305895,B,Major,80,71,69,2,0,27,10,summer,1,True
2022,556585270,C#,Major,46,34,64,31,0,7,34,spring,1,True
2019,2303033973,B,Minor,79,68,79,1,0,10,8,fall,2,False
2014,646886885,G#,Major,58,4,60,7,41,8,3,summer,3,True
2022,222612678,G#,Major,64,61,91,15,0,72,4,fall,3,True
2021,1814349763,D#,Minor,74,89,70,2,0,5,6,summer,3,False
2020,872137015,E,Minor,41,9,61,2,0,12,5,winter,3,True
2015,571386359,G#,Minor,40,23,48,5,0,12,3,spring,3,True
2022,304079786,B,Major,87,20,83,0,4,31,9,fall,2,True
2022,174006928,G,Major,87,52,52,31,0,28,24,fall,1,False
2022,284785823,G#,Major,40,39,64,21,0,7,7,summer,1,True
2022,163284000,A,Minor,46,60,28,91,0,21,4,winter,2,False
2022,246390068,G#,Major,47,15,52,38,13,29,5,fall,3,False
2022,482257456,F#,Major,91,97,57,38,0,40,29,summer,3,True
2022,168684524,G,Major,90,76,81,15,24,33,6,fall,1,False
2022,78489819,C#,Minor,81,6,84,5,23,6,6,winter,3,False
2022,195516622,G,Minor,49,24,66,19,0,18,29,winter,1,False
2021,1260594497,C#,Major,64,44,65,28,0,14,12,summer,3,True
2022,428685680,D,Major,95,91,89,6,0,31,24,summer,3,False
1985,1024858327,A#,Minor,63,20,55,72,0,6,6,fall,2,False
1973,838586769,F,Minor,39,24,43,39,0,23,3,winter,1,False
2022,199386237,B,Minor,80,46,62,3,6,11,46,summer,1,False
2021,972509632,F#,Minor,67,26,64,52,0,17,10,summer,2,True
2022,213438580,D,Minor,58,17,62,18,0,20,8,fall,3,False
2020,1555511105,B,Minor,81,59,90,5,0,36,3,fall,2,True
2022,210038833,C#,Major,58,29,94,0,0,9,11,fall,1,True
2022,227918678,A,Major,70,31,34,60,1,11,4,spring,1,False
2020,826623384,C#,Minor,46,53,78,23,0,72,6,winter,2,True
2020,1802514301,F#,Minor,70,92,83,1,0,7,6,spring,1,True
2021,1329090101,F,Minor,82,88,76,9,0,12,9,summer,2,False
2022,181831132,F,Minor,65,36,47,31,0,12,10,fall,1,True
2022,462791599,C#,Minor,84,70,69,1,0,5,5,spring,2,True
2022,348647203,D,Major,69,40,39,41,0,13,6,fall,2,True
2022,366599607,G,Major,58,44,57,57,0,10,3,summer,1,True
1930,90598517,F#,Minor,65,49,80,22,4,7,5,winter,2,False
2012,1479264469,E,Major,74,51,74,2,0,29,4,winter,2,True
1994,1449779435,G,Major,34,33,63,16,0,7,4,fall,3,False
1984,1159176109,B,Minor,74,88,65,28,0,46,3,winter,2,False
1958,769213520,G#,Major,70,85,41,71,0,45,5,winter,3,False
1957,741301563,D,Major,74,78,37,84,0,6,3,winter,2,False
2011,807561936,E,Major,35,38,23,91,0,29,3,fall,1,False
2013,834129063,G,Major,46,53,63,5,0,30,18,winter,3,False
1963,663832097,G,Major,24,76,60,77,0,12,4,fall,3,False
1959,446390129,C#,Major,45,72,24,91,0,18,4,fall,3,False
2017,690104769,C#,Major,72,33,51,48,0,9,3,winter,1,False
2013,485285717,G#,Major,51,69,81,0,0,21,5,fall,3,False
1970,520034544,D,Major,50,96,82,47,0,34,4,fall,3,False
2011,476244795,G,Major,65,70,47,87,0,9,4,fall,3,False
2011,629173063,F#,Minor,67,88,54,51,0,9,4,winter,3,False
1963,404664135,D,Major,53,84,77,40,0,32,3,fall,1,False
2022,98709329,C#,Major,65,35,65,44,18,21,7,winter,3,False
2022,110849052,A,Minor,71,55,26,85,0,13,8,winter,1,False
1971,460492795,D,Major,33,39,61,32,0,77,3,winter,3,False
2022,94005786,A#,Minor,73,71,69,53,0,32,9,winter,3,False
1952,395591396,E,Major,67,81,36,64,0,15,3,winter,3,False
1946,389771964,C#,Major,36,22,15,84,0,11,4,fall,3,False
1979,403939487,B,Major,75,74,58,36,0,9,3,fall,1,False
1984,481697415,C#,Major,60,23,57,0,2,27,3,fall,2,False
2022,110073250,F#,Major,62,59,43,84,3,11,5,winter,2,False
2022,88092256,G#,Major,60,19,20,78,0,11,5,winter,1,False
1984,351636786,C#,Minor,72,91,87,14,0,13,3,winter,1,False
1950,473248298,D,Major,60,86,32,88,0,34,6,winter,3,False
2022,73981293,G,Minor,51,51,66,67,0,9,23,winter,2,False
2022,155653938,A,Major,67,22,59,76,1,15,16,winter,1,True
1942,395591396,A,Major,23,19,25,91,0,40,3,winter,1,False
1986,429504768,A,Major,51,87,58,36,0,18,4,winter,3,False
1963,242767149,D#,Major,34,35,76,39,0,8,5,fall,2,False
2022,65362788,F,Major,43,42,44,57,0,15,6,winter,3,False
2022,67540165,D,Major,53,47,74,9,0,34,4,winter,1,False
2022,62019074,F,Major,72,78,68,28,0,11,12,winter,3,False
2017,135723538,A,Major,59,60,94,24,0,10,4,fall,2,False
1958,295998468,G,Major,73,72,32,77,0,15,5,winter,2,False
2000,261116938,D,Major,67,69,72,17,0,19,3,fall,3,False
2022,136689549,B,Minor,70,92,59,3,0,10,3,fall,1,True
2022,135611421,G#,Major,49,42,77,3,0,12,9,winter,3,True
2021,356709897,G,Minor,54,41,39,51,0,11,16,winter,2,False
2022,110649992,G#,Major,80,15,54,9,0,38,5,winter,2,False
2022,301869854,C#,Major,70,57,57,9,20,11,7,fall,3,False
1959,127027715,F#,Minor,69,96,36,81,0,8,4,winter,2,False
2022,57144458,G#,Major,47,33,68,24,0,22,38,winter,1,False
2022,56870689,C#,Major,79,77,46,5,0,11,7,winter,3,False
2022,323437194,A,Major,66,19,32,69,0,12,4,fall,2,False
2022,317726339,G,Major,64,4,40,6,0,10,6,fall,2,False
2022,116144341,E,Minor,89,48,74,30,0,7,36,fall,2,False
2022,328207708,G,Major,70,39,56,6,0,9,7,fall,3,False
2022,608228647,B,Minor,80,42,68,2,0,66,4,spring,2,True
2005,180577478,F,Major,63,93,88,1,0,12,4,fall,1,False
2021,809306935,C#,Minor,87,51,69,36,0,9,8,summer,1,True
2022,49262961,B,Major,45,35,68,78,0,39,8,winter,2,False
2022,614555082,A,Major,83,47,80,2,0,24,9,spring,1,True
1958,245350949,G,Minor,69,94,71,79,0,7,8,winter,3,False
1957,178660459,G#,Major,51,94,34,73,0,10,5,winter,3,False
2022,51641685,D,Major,61,48,55,67,0,16,8,winter,2,False
2022,78139948,F,Minor,33,51,59,76,0,44,6,winter,1,False
2022,322336177,B,Minor,63,34,86,26,0,21,39,summer,1,True
2021,1007612429,E,Major,70,42,54,30,0,37,5,summer,2,False
2022,326792833,G,Major,70,91,79,3,0,7,10,winter,2,False
2022,391251368,A,Minor,70,60,58,4,0,16,3,winter,3,True
2022,349585590,F,Major,60,45,47,62,0,31,5,winter,2,False
2022,339659802,F,Minor,65,82,74,27,0,32,5,winter,1,False
2021,674772936,B,Minor,85,64,81,2,5,7,9,summer,2,False
2021,432719968,F,Minor,58,83,45,36,0,11,8,fall,3,False
2021,1309887447,G,Major,76,44,77,1,0,13,3,summer,2,True
2022,119238316,G,Minor,80,62,51,2,0,9,8,winter,2,False
2022,116903579,F#,Minor,74,35,73,0,0,21,5,winter,2,False
2017,888046992,B,Minor,67,50,67,15,0,30,4,summer,2,False
2022,200660871,F,Major,53,50,79,0,0,8,3,winter,3,False
2021,130655803,A#,Minor,70,35,77,1,0,26,4,summer,2,False
2021,1887039593,F#,Minor,56,68,66,28,0,11,18,spring,3,True
2022,88103848,C#,Major,41,27,64,36,0,60,3,winter,3,False
2022,101114984,E,Minor,49,49,59,44,0,35,21,winter,1,False
2021,1575467011,G#,Major,77,74,66,30,0,13,3,spring,2,False
2022,91656026,D,Major,75,85,84,10,0,31,19,winter,2,False
2021,1042568408,C#,Major,66,19,61,30,0,9,7,summer,2,False
2020,1735441776,G#,Minor,61,76,51,30,0,38,15,fall,3,False
2019,726837877,F,Minor,74,53,73,61,0,13,4,summer,1,True
2022,53933526,A,Minor,27,10,49,62,0,49,5,winter,1,False
2021,267758538,D,Major,65,37,58,2,0,4,31,fall,3,False
2022,74601456,A,Minor,28,13,41,50,0,19,3,winter,1,False
2021,920797189,C#,Minor,74,55,85,1,0,5,22,fall,1,False
2021,539595276,C#,Major,68,72,78,4,0,7,5,fall,1,False
2017,1367810478,B,Minor,71,59,80,13,0,36,5,winter,3,False
2020,578207856,D,Major,75,36,76,12,0,10,10,fall,2,True
2021,775542072,E,Minor,64,14,70,9,0,9,8,fall,3,True
2021,863625566,C#,Minor,83,40,55,16,0,14,23,fall,3,True
2021,656013912,G,Minor,75,46,76,3,0,9,4,fall,2,True
2021,1056760045,G,Major,31,31,24,76,0,14,4,summer,1,False
2021,611994237,B,Minor,56,16,67,0,0,11,4,fall,2,True
2021,1230855859,D#,Major,29,12,33,68,0,12,5,spring,3,True
2021,582981380,G#,Minor,59,69,61,84,0,46,36,fall,3,False
2021,1858144199,A#,Major,59,21,43,76,0,10,7,winter,3,True
2021,240684449,F#,Minor,82,52,61,38,0,14,27,fall,3,True
2021,583687007,A#,Major,63,21,52,28,0,9,3,fall,1,True
2022,63803529,A#,Major,77,25,62,34,0,23,3,winter,2,False
2021,466214729,C#,Major,53,55,73,9,0,3,5,fall,1,False
2022,236940480,F,Minor,70,61,44,40,0,37,4,winter,3,True
2022,41924466,F,Minor,46,55,50,71,0,10,11,winter,1,False
2021,225259194,A#,Major,65,46,47,12,0,13,16,fall,3,False
2021,393230256,E,Minor,79,79,70,57,0,66,8,fall,1,True
2021,287201015,G,Major,40,7,29,62,0,9,3,winter,1,False
2018,599770206,D,Major,57,36,58,5,0,15,3,spring,1,True
2021,342779426,D,Major,83,11,41,0,0,36,14,fall,1,False
2021,673801126,C#,Major,73,79,86,42,0,7,18,summer,3,True
2020,1168642797,D#,Minor,81,57,63,40,1,10,4,fall,2,True
2019,540539717,G#,Major,58,44,60,44,9,5,6,summer,2,False
2021,383550148,D,Major,63,85,62,6,0,35,4,fall,1,False
2020,530511203,D,Major,77,40,47,2,0,9,3,spring,1,False
2022,37307967,F,Major,44,52,94,11,0,4,29,winter,2,False
2021,510876816,B,Minor,75,93,86,8,0,14,3,fall,2,True
2021,1445941661,B,Major,63,49,68,38,0,42,18,spring,1,False
2020,1763363713,E,Minor,73,14,57,40,0,11,5,fall,2,True
2021,374191487,C#,Minor,66,76,82,47,0,10,32,winter,1,True
2022,108809090,D,Minor,56,58,55,35,0,23,11,winter,1,False
2021,436695353,A,Minor,73,60,85,17,0,24,5,fall,1,True
2021,421040617,D,Minor,72,67,68,0,0,14,4,fall,2,False
2020,501541661,A,Major,70,57,49,19,0,12,8,summer,1,False
2021,354065229,C#,Minor,86,31,53,43,0,11,6,fall,2,False
2021,1143647827,G#,Major,79,70,36,0,0,6,11,spring,2,True
2022,311395144,C#,Minor,77,49,42,1,1,13,19,winter,1,False
2021,672656250,G#,Major,83,44,62,2,0,8,6,summer,2,False
2021,1256880657,A,Major,44,22,60,61,0,42,9,spring,3,True
2020,1692897992,F#,Minor,75,74,77,1,0,9,10,summer,2,True
2021,245095641,D,Major,74,39,65,5,1,11,35,fall,3,False
2019,686734357,D,Major,66,18,68,9,0,12,4,winter,1,True
2021,261414174,D,Major,67,78,63,29,0,12,5,fall,1,False
2021,610045621,F#,Major,66,63,69,21,0,11,7,summer,3,True
2021,1115880852,F,Major,59,72,62,18,0,9,3,spring,3,False
2021,594482982,F,Minor,85,22,37,13,0,7,30,fall,3,False
2021,566954746,B,Minor,77,51,79,20,0,26,6,summer,2,False
1970,213427660,A,Major,53,75,69,7,0,17,3,winter,2,False
2021,374706940,A#,Minor,77,82,30,95,0,13,5,fall,3,True
2021,184937148,C#,Major,59,56,63,12,0,6,36,fall,3,False
2022,31959571,A,Minor,46,23,48,75,30,14,4,winter,2,False
2021,167076418,G#,Major,42,47,36,76,0,9,5,fall,1,False
2015,824420218,A,Major,35,41,94,0,63,5,5,spring,3,True
2021,363467642,A#,Major,77,51,79,5,0,16,5,fall,2,False
2015,1127468248,A#,Major,59,33,52,7,15,12,3,fall,1,True
2022,60680939,C#,Major,68,29,73,0,0,7,7,winter,3,False
2021,247737946,A,Major,83,59,73,6,0,5,11,winter,2,True
2020,1699402402,G,Minor,70,76,72,22,0,27,4,summer,1,False
2021,154797871,E,Major,72,54,71,26,0,10,4,fall,2,False
2021,198883004,D,Major,86,86,79,11,0,8,9,fall,2,False
2022,124407432,A#,Major,63,31,35,93,0,29,3,winter,2,False
2021,850608354,F#,Major,39,36,45,81,0,8,13,spring,3,True
2021,376333030,C#,Major,80,21,55,1,0,26,17,summer,2,False
2021,516784627,G#,Minor,91,79,66,32,0,9,16,summer,1,False
2019,1608045237,D#,Major,45,19,60,63,0,9,6,fall,2,True
2020,506778838,D,Major,79,56,91,26,0,13,21,winter,3,True
2010,1472799873,G#,Major,73,52,76,13,0,5,3,fall,1,True
2021,513643924,F,Major,76,63,77,14,0,15,22,summer,3,True
2021,261286503,G,Minor,96,71,42,57,0,8,9,winter,2,False
2021,783706581,A,Major,40,19,29,86,0,34,4,spring,3,False
2021,422691058,C#,Major,67,40,90,3,0,34,6,spring,1,True
2020,1062345656,G#,Minor,80,24,62,41,2,11,23,winter,2,False
2020,1252563873,F,Major,73,66,80,44,0,9,12,fall,3,False
2021,851070493,C#,Major,75,96,61,0,0,18,4,spring,3,False
2021,263894529,G#,Minor,46,62,83,53,0,97,28,fall,3,False
2021,345903614,A,Major,81,92,90,9,0,8,7,fall,2,False
2020,951637566,D,Major,61,59,46,56,0,13,5,winter,2,True
2016,956865266,G,Major,74,45,89,5,0,26,13,fall,1,False
2021,427486004,G#,Minor,79,79,84,2,0,5,5,summer,2,False
2016,156658366,E,Minor,73,31,45,85,24,11,3,spring,1,False
2021,624515457,F#,Minor,78,65,52,46,0,12,31,spring,3,False
2017,777765388,G,Major,60,11,33,90,0,8,5,spring,2,False
2021,412795151,F#,Major,45,12,57,7,0,23,3,summer,1,False
2019,1138474110,E,Minor,78,47,70,18,0,15,9,winter,3,False
2021,355219175,G#,Major,76,58,84,10,0,13,10,fall,1,False
2021,290228626,F#,Major,63,76,67,38,0,6,4,summer,1,True
2010,1062956628,C#,Minor,52,7,61,51,0,11,3,fall,3,True
2020,1180094974,E,Major,64,8,37,79,0,9,5,spring,2,False
2014,1456081449,F#,Major,53,66,85,2,0,24,4,winter,2,True
2021,432702334,G#,Major,75,53,74,2,0,11,5,summer,2,False
2021,489945871,B,Minor,80,33,60,0,0,32,14,fall,3,False
2021,465959382,A,Minor,77,26,63,58,0,11,5,summer,1,True
2021,1223481149,G,Major,73,54,74,23,0,41,23,fall,1,False
2019,2864791672,F#,Minor,82,54,59,69,0,18,10,spring,1,False
2017,2288695111,B,Minor,44,22,48,38,0,33,24,summer,1,False
2021,720825549,G#,Major,89,77,82,3,0,17,11,winter,1,False
2013,2086124197,G#,Major,42,33,26,92,0,13,3,summer,2,False
1991,1690192927,C#,Major,52,73,91,0,0,11,7,fall,2,True
2019,991336132,A,Minor,45,27,33,82,0,14,4,spring,1,False
2021,593917618,C#,Major,67,29,47,5,0,22,26,fall,3,True
2021,200972675,C#,Major,52,68,69,13,0,33,8,fall,1,True
2022,71014967,G#,Major,41,65,88,0,0,26,5,winter,3,False
2021,560222750,C#,Major,71,14,61,1,0,23,33,summer,3,True
2003,1806617704,C#,Major,35,24,93,0,0,10,8,fall,3,True
2022,77337771,E,Minor,60,40,89,9,0,60,6,winter,2,False
2021,528544703,F#,Minor,74,79,66,11,0,8,16,summer,3,False
2019,865640097,B,Major,75,19,46,21,4,34,8,fall,1,False
2018,2159346687,G,Major,57,30,40,38,0,26,3,fall,1,True
2022,211372494,G,Minor,74,65,67,46,0,36,4,winter,3,False
2021,651732901,G,Major,72,67,72,0,0,13,4,spring,2,True
2021,608334048,A,Major,70,65,74,1,0,34,4,summer,2,True
2021,863756573,D,Major,82,80,86,1,0,30,13,winter,2,False
2021,797402345,F#,Major,79,44,54,41,0,13,24,spring,1,False
2002,1695712020,C#,Major,55,10,85,7,0,8,20,spring,3,False
2019,1759567999,B,Major,77,60,32,84,0,8,5,fall,1,True
2021,223319934,G,Minor,56,61,76,10,0,14,11,summer,1,False
2022,54937991,F,Minor,90,74,54,16,0,13,28,winter,2,False
2021,226897599,F#,Major,69,70,89,4,0,49,3,winter,2,False
2021,258316038,F#,Minor,80,62,69,28,0,13,7,fall,2,False
2021,596152090,D,Major,85,92,54,16,0,29,7,spring,1,True
2021,177129919,F#,Minor,63,75,75,17,0,11,8,fall,1,False
2022,716591492,E,Minor,84,90,70,9,0,14,8,winter,1,True
1999,1210599487,B,Major,81,53,78,18,0,6,24,winter,1,False
2022,246376690,D,Minor,51,50,76,30,0,10,7,winter,2,True
2022,496311364,G,Minor,35,23,61,23,0,19,6,winter,3,False
2022,146789379,F,Major,53,31,31,92,0,28,3,winter,3,False
1999,843309044,D#,Minor,92,31,89,3,0,8,25,winter,1,False
2022,500340342,F#,Major,69,91,63,11,0,9,31,winter,3,False
2022,107255472,G#,Minor,47,50,80,10,0,32,38,winter,3,False
2022,135079152,G,Major,52,44,60,40,0,26,3,winter,2,False
2012,822239726,A#,Minor,91,49,61,3,0,17,22,winter,2,True
2002,1202722675,F#,Minor,90,79,71,26,0,7,37,winter,1,True
2022,343197054,D,Minor,61,65,64,1,0,12,4,winter,3,False
2013,240769997,C#,Major,60,37,71,8,0,48,4,summer,2,False
2019,426204830,D#,Major,37,17,67,2,0,34,9,summer,3,False
2016,421135627,A,Major,31,30,88,7,0,8,8,summer,3,False
2019,554875730,B,Major,57,23,66,4,6,15,4,fall,3,True
2019,467727006,E,Minor,46,43,43,23,8,8,22,summer,1,False
2020,327498031,F,Minor,84,49,72,8,0,15,8,summer,1,True
2021,185408548,D,Major,60,47,62,3,0,38,4,winter,3,False
2022,245400167,F,Minor,67,74,75,44,0,7,30,winter,3,True
1995,579395142,G,Major,77,76,84,3,0,38,4,winter,1,False
1999,675039469,G#,Major,93,61,74,9,0,17,8,winter,3,False
2021,252871192,B,Minor,31,4,86,1,0,28,17,fall,3,True
2021,231996128,A,Major,76,92,62,6,0,8,13,winter,1,False
2017,1929770265,C#,Minor,91,42,60,0,0,9,12,spring,3,True
1999,918915401,F#,Minor,78,53,74,4,0,45,21,fall,1,False
2020,1180896317,A#,Minor,81,83,75,14,0,29,34,winter,3,False
2017,498960285,G#,Major,67,8,54,27,0,8,4,fall,2,False
2020,685071800,F,Major,86,89,79,17,0,11,6,winter,1,True
2022,258714692,G#,Minor,74,61,52,30,0,26,9,winter,1,False
2022,143139338,D,Minor,79,86,52,66,0,9,7,winter,3,False
2021,209768491,D,Minor,73,37,74,28,0,14,6,fall,1,False
2022,64714573,B,Major,89,75,70,6,0,13,5,winter,3,False
2022,50746620,C#,Major,65,60,60,11,0,10,40,winter,1,False
2022,154119539,F,Minor,89,89,86,16,0,8,5,winter,3,False
2021,181328253,G#,Minor,51,66,53,60,0,11,18,fall,3,False
2015,370068639,D#,Major,47,44,76,8,91,9,3,summer,1,False
2014,2280566092,D,Major,78,58,45,47,0,18,3,winter,1,False
2019,563902868,F,Major,31,31,63,47,27,21,12,fall,1,False
2021,317622165,F,Major,44,18,38,70,0,12,4,winter,3,True
2022,291709698,C#,Minor,73,68,83,55,0,90,7,winter,2,True
2019,203680270,G#,Minor,39,45,55,73,0,9,21,fall,1,False
2022,81350745,C#,Minor,84,54,51,47,0,12,40,winter,2,False
2019,282883169,E,Minor,56,19,46,92,72,11,3,fall,1,False
2022,64787943,C#,Major,92,62,86,11,0,24,24,winter,2,False
2019,2484812918,A,Minor,76,77,52,4,0,8,3,summer,2,True
2019,461437791,F,Minor,62,46,73,10,0,67,11,spring,3,False
2019,1439191367,G#,Major,68,57,77,2,0,10,5,winter,1,True
2020,759208783,C#,Major,74,59,87,3,0,8,5,winter,1,True
1991,368646862,G#,Major,44,8,20,74,42,11,3,fall,2,False
2022,299634472,G,Major,81,68,63,17,0,10,22,spring,2,False
2022,756907987,G#,Major,76,96,70,18,0,33,4,spring,1,True
2022,682475162,A#,Minor,87,82,53,10,0,5,8,winter,1,True
2021,546191065,E,Minor,81,40,73,15,0,9,8,fall,1,True
2022,229473310,G,Major,95,36,37,35,0,10,28,spring,2,True
2022,202677468,F#,Major,64,76,44,70,9,12,4,spring,1,True
2022,121913181,G,Minor,28,26,20,19,0,30,3,winter,1,False
2022,208166039,A,Minor,78,55,57,4,0,10,8,winter,3,True
2004,527033089,A#,Major,81,56,70,4,0,5,24,spring,1,True
2022,94616487,C#,Minor,59,70,74,56,0,11,40,spring,1,False
2021,394030335,A#,Minor,80,71,68,6,0,10,37,spring,3,True
2022,193443895,E,Minor,65,11,58,0,0,12,9,winter,3,False
2022,299648208,G#,Major,55,86,44,40,0,7,4,winter,3,True
2022,182978249,C#,Major,72,55,64,49,0,7,4,winter,1,False
2022,319757142,G,Major,59,73,45,44,0,34,3,winter,3,True
2013,109091573,C#,Major,77,68,70,6,0,17,20,summer,1,False
2022,153240879,D,Minor,80,24,65,2,0,9,4,winter,1,False
2021,346127840,B,Major,42,33,44,62,0,8,6,fall,2,False
2020,312622938,C#,Minor,76,81,80,20,0,25,4,winter,1,False
1975,2197010679,A,Minor,41,23,40,27,0,30,5,fall,1,True
2018,1200808494,A,Minor,59,23,46,66,0,15,6,spring,3,False
2020,797196073,F#,Minor,69,90,88,5,0,29,8,spring,1,False
2013,1970673297,D,Major,53,66,78,0,0,16,5,winter,2,True
2021,665765558,A#,Minor,70,71,58,24,0,7,13,spring,3,False
2021,263779030,D,Major,69,35,57,12,0,10,9,fall,3,False
2020,339473453,A,Minor,67,37,46,13,0,10,39,fall,2,False
2017,2204080728,B,Minor,61,47,65,3,0,17,4,winter,1,True
2016,2591224264,G#,Major,75,64,52,41,0,11,3,spring,1,False
2022,135444283,B,Minor,39,28,77,4,0,6,29,winter,3,False
2011,1457139296,F,Major,86,75,52,54,0,10,4,winter,2,False
2019,236872197,F#,Minor,68,33,43,38,0,36,14,summer,1,False
2022,694525298,G#,Major,91,32,56,3,0,11,10,spring,2,False
2022,240661097,E,Major,58,56,83,5,0,7,4,spring,3,False
2022,421365166,G#,Major,45,27,67,32,0,13,14,winter,1,True
2022,349746291,G,Major,81,59,83,9,0,11,5,spring,1,True
2022,255120451,F,Major,60,58,69,2,0,58,4,spring,3,False
2022,190981339,C#,Major,68,41,55,16,0,10,12,spring,3,False
2015,924193303,D#,Minor,76,63,71,3,0,10,3,winter,1,False
2022,305771063,C#,Minor,70,54,71,0,0,33,4,spring,2,True
2022,273005485,G,Minor,83,63,74,14,0,16,6,spring,1,False
2022,89566512,C#,Minor,72,22,46,24,0,9,6,spring,3,False
2015,677389855,F,Minor,59,30,62,1,0,8,4,winter,2,False
2022,75476209,G,Minor,63,45,64,34,0,9,8,spring,3,False
2021,408843328,B,Major,56,41,57,1,0,13,3,fall,3,True
2022,187772591,G#,Minor,78,63,64,1,0,7,4,winter,2,True
2022,178512385,A#,Major,79,48,84,13,0,21,23,spring,1,False
2022,101780047,D,Major,70,22,61,2,0,10,34,spring,3,False
2022,118381354,F#,Major,86,91,79,29,0,60,16,spring,1,True
2022,146363130,F#,Major,71,55,44,74,0,11,6,spring,2,True
2022,126443991,E,Minor,71,63,45,45,0,11,3,spring,1,False
2022,157990698,D#,Minor,69,90,91,6,0,35,4,spring,1,False
2022,176290831,D#,Minor,93,77,45,25,0,13,27,spring,3,False
2019,1023187129,E,Major,57,6,27,84,0,9,3,winter,2,False
1996,106933107,G,Major,89,59,64,5,0,19,7,fall,1,False
2022,139193812,C#,Minor,87,28,50,12,0,10,10,spring,2,True
2022,212234990,C#,Major,58,71,80,15,0,7,41,spring,2,False
2016,1714490998,D,Major,86,97,80,36,0,9,6,fall,2,False
2022,197643795,F,Major,78,83,75,41,0,27,8,spring,1,False
2019,807015863,E,Minor,45,25,84,21,0,13,6,winter,3,True
2013,933815613,F#,Minor,79,87,81,4,0,10,4,winter,2,False
2021,499710590,D#,Major,86,62,49,51,0,35,21,summer,2,False
2022,120847157,A,Minor,91,73,72,13,0,9,15,winter,1,False
2022,53909146,G#,Major,68,24,58,44,0,6,3,spring,2,False
2014,2236667932,E,Major,61,20,38,61,0,10,5,summer,2,True
2015,2123309722,E,Major,61,53,38,84,0,28,44,fall,1,True
2022,301242089,D#,Minor,81,39,66,38,0,12,14,spring,3,False
2022,723894473,A#,Minor,84,72,74,10,0,34,7,spring,2,False
2022,237351106,C#,Minor,78,40,74,36,0,17,27,spring,1,False
2022,461558540,F,Major,56,61,90,36,0,18,31,spring,1,False
2022,417230415,F,Minor,79,22,55,31,0,12,5,spring,1,True
2022,156898322,G#,Major,52,32,83,24,0,17,43,spring,1,False
2022,127309180,A#,Minor,55,50,78,19,0,11,35,spring,3,False
2022,313113297,G,Major,87,93,59,28,0,17,5,spring,3,False
2022,173702135,A#,Minor,85,41,43,39,0,12,21,spring,1,False
2022,271666301,C#,Major,50,39,78,4,0,11,33,spring,2,False
2022,305650299,A#,Major,71,43,65,23,0,9,5,spring,1,False
2022,123216717,C#,Minor,92,78,57,46,0,14,9,spring,3,False
2022,479655659,B,Minor,66,58,79,23,0,22,20,spring,3,True
2022,126191104,G,Major,78,51,43,69,0,14,9,spring,3,False
2022,344055883,C#,Minor,80,45,62,76,0,10,38,spring,1,False
2022,338422004,C#,Major,82,50,67,12,0,13,5,spring,2,True
2022,68895644,B,Major,65,52,69,31,0,8,36,spring,2,False
2022,86176890,G#,Major,61,66,71,53,0,32,46,spring,2,False
2022,403231558,B,Major,84,74,69,21,0,18,6,spring,3,True
2022,319546754,D,Major,78,55,60,59,0,7,4,spring,2,True
2022,61739839,A#,Minor,56,56,47,76,0,8,36,spring,1,False
2022,283359161,F#,Minor,86,67,65,42,0,35,7,spring,2,False
2022,76831876,D#,Minor,57,71,82,19,0,15,29,spring,3,False
2022,283332261,F,Minor,50,41,50,69,0,12,6,spring,3,True
2022,307752576,C#,Major,80,26,85,23,0,11,21,winter,2,False
2022,279737940,G#,Major,81,77,79,19,0,47,8,spring,1,True
2022,212351890,G#,Major,63,60,70,5,0,9,31,spring,2,False
2019,1304313953,D,Major,61,24,62,60,0,24,31,spring,3,True
2022,150500965,B,Major,83,41,65,0,10,11,8,spring,3,False
2022,246127838,C#,Minor,85,72,58,9,0,49,12,spring,2,False
2016,582863434,B,Minor,51,48,82,0,0,5,3,winter,2,False
2022,58687425,A,Major,73,26,54,30,0,34,32,spring,3,False
2022,212109195,E,Major,91,91,96,3,0,3,9,spring,2,False
2022,382199619,A#,Major,36,30,54,34,0,14,5,spring,1,True
2022,41210087,G,Major,44,74,42,88,0,9,9,spring,1,False
2022,231657891,G,Major,64,80,88,0,0,12,6,spring,2,False
2022,53729194,D,Major,83,32,82,14,0,12,4,spring,1,False
2022,244741137,G,Major,38,20,66,9,0,9,8,spring,1,False
2022,42485571,C#,Minor,37,14,24,80,0,11,4,spring,3,False
2022,37778188,G,Major,43,60,38,76,1,48,38,spring,1,False
2022,254218729,G#,Major,88,28,66,6,0,13,31,spring,2,False
2022,53603447,E,Minor,66,29,65,23,0,8,7,spring,1,False
2022,160035717,B,Minor,84,61,42,31,0,9,9,spring,3,True
2022,164163229,A,Major,61,32,90,25,0,10,9,spring,1,False
