released_year,streams,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,season,bpm_category,charted_on_spotify
2023,95131998,C#,Minor,74,76,76,6,0,10,9,spring,3,True
2023,250305248,D,Major,68,14,76,4,0,10,4,spring,3,True
2017,685032533,A,Minor,62,19,53,11,0,6,4,fall,3,True
2020,38411956,C#,Minor,53,34,47,9,0,83,4,summer,1,True
2023,144565150,D#,Major,83,69,44,15,0,10,33,spring,3,True
2023,127567540,F#,Minor,49,17,35,71,9,11,3,spring,1,True
2022,399686758,F,Major,56,39,55,14,0,11,13,winter,3,True
2011,983637508,C#,Minor,56,24,66,7,0,12,3,winter,2,True
2023,118482347,G,Major,62,57,59,3,0,38,3,summer,1,True
2012,882831184,G,Major,43,50,55,50,0,15,10,winter,1,True
2022,286400165,G,Minor,68,17,71,15,0,11,5,winter,1,True
2023,172825906,D,Major,50,37,90,0,0,12,5,spring,3,True
2004,1241559043,E,Minor,62,24,67,21,0,13,28,winter,1,True
2023,29562220,E,Minor,81,53,72,51,0,12,5,summer,3,True
2022,77309611,A#,Major,54,50,40,61,0,10,6,spring,3,True
2017,1605224506,C#,Major,80,92,80,4,0,10,3,fall,2,True
2017,1116995633,C#,Major,61,45,69,2,0,9,3,spring,2,True
2021,838079900,F,Minor,77,65,72,2,0,7,5,spring,2,True
2011,1163620694,D,Minor,61,47,68,0,0,13,3,winter,2,True
2012,1093605526,E,Minor,74,37,53,7,0,21,10,winter,3,True
2022,179659294,F,Major,51,18,44,76,0,11,3,winter,2,True
2023,39058561,B,Major,77,79,62,33,1,15,3,summer,2,True
2023,36912123,G,Major,65,49,78,0,0,17,4,summer,2,True
1985,1205951614,G,Major,64,54,81,36,0,11,6,winter,2,True
2014,1791000570,A#,Minor,70,47,52,30,0,6,33,winter,1,True
2023,201660859,D#,Minor,55,30,78,24,0,12,8,winter,3,True
2023,248088961,F,Minor,84,96,71,18,0,34,17,winter,2,True
2023,90839753,B,Minor,82,89,85,4,0,23,6,spring,2,True
2020,607123776,F,Major,51,42,61,53,0,9,3,summer,1,True
2023,55842345,A,Minor,75,79,63,33,0,15,4,summer,2,True
2023,211050784,A,Major,64,31,87,4,4,8,4,spring,3,True
2022,342897938,G#,Major,74,68,68,3,0,26,4,summer,3,True
2022,2762,A#,Major,49,78,64,19,0,11,4,winter,3,True
2021,330346424,F,Major,81,39,60,31,0,7,3,summer,1,True
2022,601863821,F,Major,87,57,55,10,0,29,7,summer,1,True
2011,1953533826,D,Major,63,88,93,3,0,10,8,summer,3,True
2019,2322580122,A#,Major,55,56,82,12,0,34,5,fall,1,True
2017,2355719893,E,Minor,35,12,30,93,0,10,3,summer,2,True
2023,66902503,B,Major,78,59,65,10,0,26,5,summer,2,True
2023,96273746,E,Minor,82,69,83,3,0,27,5,spring,2,True
2023,430977451,A,Minor,80,74,77,36,0,11,4,winter,2,True
2011,284819874,D,Major,42,20,86,21,0,9,9,winter,3,True
2023,721975598,D,Minor,78,50,63,27,0,9,5,winter,2,True
2007,1217120710,G#,Major,52,20,85,0,0,7,5,spring,3,True
2023,109276132,C#,Major,63,22,54,46,0,12,8,summer,3,True
2022,276259178,C#,Minor,75,48,53,18,0,18,34,winter,2,True
2023,54225632,G,Minor,76,96,72,32,0,9,4,spring,2,True
2017,2559529074,G#,Major,60,17,45,16,0,11,2,winter,1,True
2022,681583126,F#,Major,56,20,55,45,1,32,3,summer,3,True
2017,2594040133,A#,Minor,77,74,78,4,0,23,11,winter,2,True
2023,81102253,D#,Minor,84,65,50,67,0,13,6,spring,2,True
2023,11956641,B,Minor,93,68,65,42,0,12,25,summer,3,True
2002,1687664027,G,Major,92,67,66,0,0,36,9,winter,2,True
2023,11599388,A,Major,79,92,89,5,0,6,5,summer,1,True
2016,611700552,F,Minor,59,52,48,38,5,10,11,fall,1,True
2022,1133865788,D#,Minor,65,27,69,8,0,53,4,spring,1,True
2004,1089402494,A,Major,45,33,59,6,0,8,3,winter,3,True
2019,411747614,E,Major,60,24,35,73,0,31,3,spring,2,True
2023,255932395,G,Minor,74,96,80,18,0,5,5,winter,3,True
2023,31873544,A,Minor,81,90,77,1,0,9,5,summer,2,True
2023,95053634,F#,Major,78,70,81,57,0,10,5,spring,2,True
2010,1279434863,G,Major,47,86,92,8,0,5,24,winter,2,True
2023,233801632,A,Major,69,61,71,33,0,31,20,winter,3,True
2012,1481349984,F,Major,73,87,70,6,0,28,5,winter,3,True
2023,142095275,B,Major,50,85,52,11,0,28,6,spring,3,True
2022,618885532,G#,Major,54,40,67,0,0,9,17,summer,3,True
2013,2011464183,C#,Minor,66,48,71,6,0,12,4,winter,2,True
2021,1167330737,D,Major,61,41,74,21,0,40,6,spring,3,True
2019,929964809,A,Minor,73,31,69,6,0,11,4,fall,2,True
2023,436027885,G,Minor,78,89,83,10,0,12,5,winter,3,True
