released_year,in_spotify_playlists,streams,in_apple_playlists,in_deezer_playlists,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,season,bpm_category,charted_on_spotify,class_label_apple_chart_category
2012,16413,2282771485,166,"1,056",A#,Major,61,41,81,5,2,10,3,2,2,True,2
2022,8506,1356565093,94,164,D,Major,62,55,78,1,3,23,4,3,2,True,2
2008,33898,1592909789,233,"4,095",F,Minor,49,42,62,9,0,11,3,1,3,True,5
2022,3246,635412045,94,68,E,Major,58,27,48,50,0,12,3,3,3,True,2
2022,8576,1230675890,216,331,D,Major,71,24,47,1,0,27,9,4,3,True,3
2022,3618,585695368,47,80,F#,Minor,78,58,73,5,0,10,7,1,3,True,2
2023,370,43857627,12,18,C#,Major,68,40,79,33,0,30,6,3,1,True,1
1975,31123,2009094673,300,"1,003",C#,Major,48,50,73,43,0,15,4,1,1,True,2
2022,2790,600976848,60,71,A#,Major,34,32,57,78,0,20,3,2,1,True,2
2023,267,39709092,9,25,F,Major,63,36,34,76,0,35,9,3,2,True,1
2023,139,39228929,16,5,D,Major,50,20,64,1,0,12,3,3,3,True,2
2021,17050,2665343922,492,798,C#,Major,59,48,76,4,0,10,5,3,3,True,2
2023,2114,223633238,80,110,G#,Minor,78,70,68,3,1,11,4,2,2,True,2
2018,17836,2887241814,440,"1,800",C#,Major,50,45,41,75,0,11,3,4,2,True,3
2022,8870,1440757818,104,141,C#,Minor,91,43,71,9,0,9,8,2,1,True,3
2015,6060,165484133,150,"2,703",D,Major,82,40,66,39,51,25,7,3,2,True,3
2012,641,58054811,1,8,A,Major,63,84,82,70,8,9,7,3,2,True,2
2023,1446,157058870,57,35,G#,Major,71,67,60,19,0,12,3,2,1,True,2
2023,804,95131998,29,24,C#,Minor,74,76,76,6,0,10,9,2,3,True,2
2023,1962,250305248,28,29,D,Major,68,14,76,4,0,10,4,2,3,True,2
2017,4875,685032533,19,0,A,Minor,62,19,53,11,0,6,4,4,3,True,1
2020,31,38411956,2,8,C#,Minor,53,34,47,9,0,83,4,3,1,True,3
2023,2175,144565150,69,69,D#,Major,83,69,44,15,0,10,33,2,3,True,3
2023,2000,127567540,49,63,F#,Minor,49,17,35,71,9,11,3,2,1,True,3
2022,2839,399686758,58,42,F,Major,56,39,55,14,0,11,13,1,3,True,3
2011,20333,983637508,89,"1,632",C#,Minor,56,24,66,7,0,12,3,1,2,True,3
2023,674,118482347,20,25,G,Major,62,57,59,3,0,38,3,3,1,True,3
2012,8448,882831184,160,163,G,Major,43,50,55,50,0,15,10,1,1,True,3
2022,2110,286400165,17,19,G,Minor,68,17,71,15,0,11,5,1,1,True,3
