released_year,in_spotify_playlists,streams,in_apple_playlists,in_deezer_playlists,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,season,bpm_category,charted_on_spotify,class_label_apple_chart_category
2022,2128,367814306,37,9,A,Major,73,64,85,25,0,61,3,2,2,True,2
2022,2598,477033549,28,43,F,Minor,76,46,79,31,0,7,6,2,1,True,2
2022,542,156214700,23,21,G#,Minor,81,64,79,5,0,31,3,4,2,True,1
2022,2459,448843705,20,50,A#,Major,71,57,97,1,0,13,11,1,2,True,2
1995,10624,1357608774,21,386,G#,Major,63,40,61,9,0,56,6,3,1,True,5
2022,2418,294352144,52,55,F,Minor,95,43,69,47,0,9,31,4,2,True,2
2014,7536,972164968,44,135,A#,Major,58,46,67,65,0,13,4,4,1,True,1
2017,10431,920045682,71,181,F#,Major,60,77,78,45,0,12,6,1,3,True,2
2016,15722,2420461338,231,"1,509",A#,Major,40,45,56,69,0,9,5,4,1,True,1
2015,25744,1947371785,122,"1,992",B,Minor,36,12,57,9,0,14,8,2,3,True,2
2019,1640,244658767,27,29,G#,Minor,90,64,14,67,35,11,10,2,3,False,1
2023,34,68216992,0,0,A#,Minor,71,41,31,79,0,10,5,2,1,False,5
2022,1845,223582566,20,30,C#,Major,77,72,87,17,0,7,5,1,1,True,1
2022,3301,471819764,72,64,B,Minor,83,58,83,21,0,10,5,3,1,True,2
2022,1911,272377463,23,14,A,Minor,70,34,55,43,0,16,6,1,3,False,2
2003,20111,1361425037,39,"7,341",A,Major,50,24,86,0,0,64,4,2,2,True,5
2023,1529,149778242,32,39,F#,Major,64,30,77,46,0,38,6,1,1,False,1
2023,615,116599790,22,8,B,Minor,68,81,82,53,0,9,13,2,1,True,2
2022,811,148469433,11,5,G,Major,61,92,91,0,0,26,3,1,3,True,2
2022,5730,497225336,108,197,F#,Minor,59,20,74,1,0,15,5,3,3,True,1
2023,356,88791109,4,0,F#,Minor,64,67,80,0,0,36,3,2,2,True,1
2023,604,125917280,22,0,D#,Minor,66,43,76,49,0,12,3,2,3,True,2
2023,1190,105062254,29,18,C#,Minor,84,44,67,8,0,11,6,1,3,False,1
2023,579,95623148,11,0,G#,Major,56,72,85,0,0,15,3,1,1,False,2
2023,1553,144584800,61,48,F,Major,57,68,76,7,0,33,3,1,1,True,1
2022,2301,298063749,49,110,D,Minor,74,51,45,86,0,21,38,1,3,True,1
2023,134,166570053,4,0,D,Major,56,20,43,89,0,12,4,1,2,True,1
2023,430,83021468,15,0,D,Major,68,83,81,9,0,8,4,1,3,False,1
2022,86,139836056,11,0,A,Major,59,44,56,80,0,6,3,4,1,False,2
2022,629,303216294,32,9,G#,Major,73,65,79,5,2,11,6,4,1,True,1
2022,1701,221409663,30,34,G,Minor,79,66,74,8,0,11,5,1,2,True,1
2023,329,58890931,14,1,E,Major,50,49,76,12,0,12,3,2,3,False,1
2023,1168,81419389,45,20,C#,Major,70,29,73,12,0,11,26,2,1,False,1
2022,162,156777415,1,1,B,Major,58,26,38,91,0,10,4,2,3,True,1
2022,2536,284908316,59,58,G,Major,36,28,28,81,0,18,3,1,1,True,2
2023,387,93438910,11,14,F#,Major,86,68,79,39,0,11,29,1,3,True,1
2022,892,363472647,20,12,E,Minor,59,78,94,27,0,29,23,3,1,True,3
2011,3909,372476382,66,277,A,Minor,59,49,65,2,0,13,3,1,1,False,1
2022,3645,380726517,118,150,D,Minor,87,82,70,42,0,21,5,4,3,True,1
2023,282,56533272,6,0,D,Major,49,48,67,10,0,26,3,2,3,False,1
2023,888,175399345,11,7,E,Minor,72,96,63,25,0,21,7,1,3,True,1
2022,968,203221468,16,1,F#,Major,53,51,70,49,0,14,3,2,3,True,2
2000,25065,1624165576,63,"6,808",D#,Minor,55,40,90,1,0,32,6,4,1,True,5
2022,531,134294498,20,71,F,Major,81,97,77,75,0,35,3,1,3,True,1
2022,242,70069745,12,13,E,Minor,82,61,59,30,0,12,4,3,2,False,1
2022,5281,609293408,94,80,F,Major,74,43,69,12,0,12,7,3,1,True,1
2022,2590,671365962,20,35,A#,Major,88,43,50,7,0,14,5,2,2,True,2
2022,1769,362361576,16,21,F,Minor,76,49,56,80,12,10,13,4,1,True,1
2022,454,93587665,6,21,C#,Major,53,40,36,73,0,11,33,1,1,True,1
2021,6180,1223481149,122,580,B,Minor,72,59,76,24,0,42,28,4,1,True,2
2017,3600,1022258230,7,203,B,Minor,75,18,25,78,0,11,26,3,3,True,5
2022,1254,263453310,26,73,C#,Major,65,72,95,31,0,92,5,4,3,True,2
2019,6398,1435127549,177,305,G,Major,75,43,65,15,0,11,32,3,3,True,3
2022,660,236857112,19,18,B,Major,73,88,57,56,0,5,2,4,1,True,2
2023,1283,147538971,57,48,B,Minor,66,47,40,72,0,11,3,1,2,False,1
2020,8084,698086140,45,218,F,Minor,66,16,57,10,1,12,3,1,2,True,3
2022,2332,723894473,0,25,A#,Minor,84,72,74,10,0,34,7,3,2,True,5
2023,203,34450974,5,0,F,Major,53,61,81,5,0,36,4,2,3,False,1
2020,685,403097450,24,9,F#,Minor,60,52,76,17,0,19,5,2,3,True,2
2022,2460,309483971,53,56,F,Minor,74,64,73,6,0,10,6,4,1,True,1
2022,288,319566866,11,1,F#,Minor,70,40,51,35,0,10,4,4,1,True,2
2022,4572,909001996,74,85,F,Minor,80,29,67,29,0,12,3,2,1,True,3
2021,6127,1061966512,0,0,A,Major,58,42,68,1,0,14,4,4,1,True,5
2023,166,32526947,2,0,A,Major,53,32,66,38,0,9,3,2,2,False,1
2023,1838,124988687,105,114,F#,Minor,56,56,63,13,0,19,27,1,3,False,1
2023,1890,103787664,86,49,C#,Major,70,84,90,17,0,41,6,1,2,False,1
2023,2098,134255790,88,101,G#,Major,64,25,89,0,0,15,9,1,2,True,1
2022,761,301051721,23,11,A#,Minor,88,82,80,8,0,11,8,4,1,True,2
2022,1225,156338624,27,28,F,Major,66,74,84,25,0,21,4,4,3,False,5
2023,415,152850295,15,21,D#,Major,79,60,68,7,0,26,4,1,1,True,1
2022,3469,309653982,71,31,D#,Minor,82,55,45,15,3,9,10,4,2,False,2
2022,3311,297328960,129,212,A,Major,25,17,30,90,0,13,3,4,3,False,1
2022,2616,332506354,113,208,D,Minor,64,31,72,15,0,9,5,4,3,False,1
2016,3006,480507035,47,87,E,Minor,57,47,84,1,1,52,4,4,3,True,2
2019,4260,1065580332,113,259,B,Minor,65,80,86,9,0,19,10,2,2,False,2
2016,482,122763672,9,12,D,Major,92,73,51,55,0,15,6,4,3,False,1
2022,4013,445763624,107,750,B,Major,81,82,78,38,0,12,4,1,2,True,1
2022,138,1365184,13,2,G,Major,82,62,74,10,0,33,7,1,1,True,2
2022,1368,184308753,12,11,F#,Minor,44,38,77,9,0,9,20,4,2,False,1
2015,17852,789753877,69,335,D,Minor,51,62,79,22,13,14,3,1,3,True,2
2022,889,323358833,11,35,A,Major,71,34,88,16,0,44,4,4,2,True,2
2022,4796,606361689,124,212,F,Major,70,57,64,23,0,8,32,2,3,True,2
2023,658,120972253,33,53,A#,Minor,68,83,71,3,0,31,8,1,1,True,1
2022,3009,338564981,68,65,E,Minor,41,9,25,84,1,14,4,3,3,True,2
2014,17492,1606986953,136,"1,959",F,Major,68,50,49,56,0,8,4,1,1,True,1
2020,6170,1301799902,82,231,F,Major,47,25,43,62,0,32,3,2,1,True,1
2022,130,140187018,21,2,G#,Minor,77,65,80,6,0,15,4,1,2,True,2
2017,27705,1897517891,537,"2,726",A,Minor,79,59,86,4,0,8,11,3,2,True,3
2023,359,107642809,12,13,A#,Minor,71,83,89,1,0,17,9,1,2,False,2
2022,1963,551305895,57,77,A,Major,80,71,69,2,0,27,10,3,1,True,3
2022,5491,556585270,128,75,C#,Major,46,34,64,31,0,7,34,2,1,True,2
2019,27119,2303033973,532,"1,535",B,Minor,79,68,79,1,0,10,8,4,2,False,2
2014,1776,646886885,1,3,G#,Major,58,4,60,7,41,8,3,3,3,True,1
2022,1473,222612678,27,66,B,Major,64,61,91,15,0,72,4,4,3,True,2
2021,13315,1814349763,300,690,D#,Minor,74,89,70,2,0,5,6,3,3,False,1
2020,4057,872137015,78,240,E,Minor,41,9,61,2,0,12,5,1,3,True,1
2015,3045,571386359,43,134,G#,Minor,40,23,48,5,0,12,3,2,3,True,2
2022,3006,304079786,54,66,F,Major,87,20,83,0,4,31,9,4,2,True,1
2022,852,174006928,14,50,G,Major,87,52,52,31,0,28,24,4,1,False,1
2022,2163,284785823,72,58,G#,Major,40,39,64,21,0,7,7,3,1,True,2
2022,1484,163284000,22,12,A,Minor,46,60,28,91,0,21,4,1,2,False,1
2022,1703,246390068,38,36,G#,Major,47,15,52,38,13,29,5,4,3,False,1
2022,4169,482257456,57,183,F#,Major,91,97,57,38,0,40,29,3,3,True,1
2022,1054,168684524,9,15,G,Major,90,76,81,15,24,33,6,4,1,False,5
2022,2849,78489819,39,27,C#,Minor,81,6,84,5,23,6,6,1,3,False,1
2022,1602,195516622,12,12,G,Minor,49,24,66,19,0,18,29,1,1,False,1
2021,9644,1260594497,120,164,C#,Major,64,44,65,28,0,14,12,3,3,True,2
2022,4827,428685680,104,76,D,Major,95,91,89,6,0,31,24,3,3,False,1
1985,21811,1024858327,117,676,A#,Minor,63,20,55,72,0,6,6,4,2,False,1
1973,168,838586769,0,5,F,Minor,39,24,43,39,0,23,3,1,1,False,5
2022,688,199386237,14,17,B,Minor,80,46,62,3,6,11,46,3,1,False,1
2021,10565,972509632,238,557,F#,Minor,67,26,64,52,0,17,10,3,2,True,3
2022,1612,213438580,34,34,D,Minor,58,17,62,18,0,20,8,4,3,False,2
2020,12755,1555511105,344,945,B,Minor,81,59,90,5,0,36,3,4,2,True,2
2022,574,210038833,38,26,C#,Major,58,29,94,0,0,9,11,4,1,True,2
2022,2499,227918678,70,49,A,Major,70,31,34,60,1,11,4,2,1,False,5
2020,10426,826623384,133,182,C#,Minor,46,53,78,23,0,72,6,1,2,True,3
2020,15894,1802514301,198,544,F#,Minor,70,92,83,1,0,7,6,2,1,True,1
2021,9424,1329090101,202,463,F,Minor,82,88,76,9,0,12,9,3,2,False,1
2022,713,181831132,2,6,F,Minor,65,36,47,31,0,12,10,4,1,True,1
2022,7758,462791599,173,175,C#,Minor,84,70,69,1,0,5,5,2,2,True,2
2022,2537,348647203,8,20,D,Major,69,40,39,41,0,13,6,4,2,True,1
2022,292,366599607,26,4,C#,Major,58,44,57,57,0,10,3,3,1,True,2
1930,323,90598517,4,14,F#,Minor,65,49,80,22,4,7,5,1,2,False,5
2012,14143,1479264469,56,"1,891",E,Major,74,51,74,2,0,29,4,1,2,True,1
1994,25653,1449779435,387,"2,094",G,Major,34,33,63,16,0,7,4,4,3,False,3
1984,22153,1159176109,274,"1,302",B,Minor,74,88,65,28,0,46,3,1,2,False,3
1958,14994,769213520,191,206,G#,Major,70,85,41,71,0,45,5,1,3,False,3
1957,10326,741301563,165,104,D,Major,74,78,37,84,0,6,3,1,2,False,2
2011,12353,807561936,35,549,E,Major,35,38,23,91,0,29,3,4,1,False,5
2013,9408,834129063,231,439,G,Major,46,53,63,5,0,30,18,1,3,False,3
1963,8879,663832097,182,160,G,Major,24,76,60,77,0,12,4,4,3,False,3
1959,6512,446390129,88,277,C#,Major,45,72,24,91,0,18,4,4,3,False,1
2017,5140,690104769,85,500,C#,Major,72,33,51,48,0,9,3,1,1,False,3
2013,6596,485285717,144,251,G#,Major,51,69,81,0,0,21,5,4,3,False,2
1970,3788,520034544,21,10,D,Major,50,96,82,47,0,34,4,4,3,False,1
2011,7655,476244795,5,291,G,Major,65,70,47,87,0,9,4,4,3,False,5
2011,9577,629173063,195,310,F#,Minor,67,88,54,51,0,9,4,1,3,False,3
1963,10114,404664135,114,262,D,Major,53,84,77,40,0,32,3,4,1,False,2
2022,1007,98709329,5,1,C#,Major,65,35,65,44,18,21,7,1,3,False,1
2022,1127,110849052,16,8,A,Minor,71,55,26,85,0,13,8,1,1,False,2
1971,10829,460492795,130,390,D,Major,33,39,61,32,0,77,3,1,3,False,1
2022,1042,94005786,7,3,A#,Minor,73,71,69,53,0,32,9,1,3,False,1
1952,7930,395591396,108,73,C#,Major,67,81,36,64,0,15,3,1,3,False,3
1946,11500,389771964,140,251,C#,Major,36,22,15,84,0,11,4,4,3,False,2
1979,1685,403939487,1,29,B,Major,75,74,58,36,0,9,3,4,1,False,5
1984,14169,481697415,209,449,C#,Major,60,23,57,0,2,27,3,4,2,False,1
2022,1634,110073250,16,4,F#,Major,62,59,43,84,3,11,5,1,2,False,1
2022,906,88092256,6,3,A,Major,60,19,20,78,0,11,5,1,1,False,1
1984,1087,351636786,90,5,C#,Minor,72,91,87,14,0,13,3,1,1,False,1
1950,10585,473248298,126,406,D,Major,60,86,32,88,0,34,6,1,3,False,3
2022,827,73981293,6,1,G,Minor,51,51,66,67,0,9,23,1,2,False,1
2022,1420,155653938,13,17,A,Major,67,22,59,76,1,15,16,1,1,True,2
1942,11940,395591396,73,123,A,Major,23,19,25,91,0,40,3,1,1,False,2
1986,888,429504768,50,6,A,Major,51,87,58,36,0,18,4,1,3,False,5
1963,9122,242767149,121,212,D#,Major,34,35,76,39,0,8,5,4,2,False,2
2022,892,65362788,3,2,F,Major,43,42,44,57,0,15,6,1,3,False,1
2022,989,67540165,5,1,D,Major,53,47,74,9,0,34,4,1,1,False,1
2022,819,62019074,14,0,F,Major,72,78,68,28,0,11,12,1,3,False,1
2017,2209,135723538,72,141,F#,Major,59,60,94,24,0,10,4,4,2,False,2
1958,6290,295998468,89,158,G,Major,73,72,32,77,0,15,5,1,2,False,1
2000,6952,261116938,115,286,C#,Major,67,69,72,17,0,19,3,4,3,False,2
2022,313,136689549,10,7,B,Minor,70,92,59,3,0,10,3,4,1,True,1
2022,353,135611421,2,14,G#,Major,49,42,77,3,0,12,9,1,3,True,2
2021,4094,356709897,66,43,G,Minor,54,41,39,51,0,11,16,1,2,False,2
2022,880,110649992,3,10,G#,Major,80,15,54,9,0,38,5,1,2,False,1
2022,573,301869854,1,18,C#,Major,70,57,57,9,20,11,7,4,3,False,5
1959,3299,127027715,65,41,F#,Minor,69,96,36,81,0,8,4,1,2,False,1
2022,811,57144458,6,3,G#,Major,47,33,68,24,0,22,38,1,1,False,1
2022,899,56870689,2,2,C#,Major,79,77,46,5,0,11,7,1,3,False,1
2022,2415,323437194,33,30,A,Major,66,19,32,69,0,12,4,4,2,False,2
2022,2304,317726339,12,14,G,Major,64,4,40,6,0,10,6,4,2,False,1
2022,1003,116144341,21,44,E,Minor,89,48,74,30,0,7,36,4,2,False,5
2022,2699,328207708,39,22,G,Major,70,39,56,6,0,9,7,4,3,False,1
2022,2482,608228647,27,22,B,Minor,80,42,68,2,0,66,4,2,2,True,2
2005,2577,180577478,108,30,F,Major,63,93,88,1,0,12,4,4,1,False,2
2021,6821,809306935,83,128,C#,Minor,87,51,69,36,0,9,8,3,1,True,2
2022,714,49262961,0,2,B,Major,45,35,68,78,0,39,8,1,2,False,1
2022,3185,614555082,38,37,A,Major,83,47,80,2,0,24,9,2,1,True,2
1958,8612,245350949,120,52,G,Minor,69,94,71,79,0,7,8,1,3,False,1
1957,4326,178660459,32,65,G#,Major,51,94,34,73,0,10,5,1,3,False,1
2022,680,51641685,2,1,D,Major,61,48,55,67,0,16,8,1,2,False,1
2022,398,78139948,2,6,F,Minor,33,51,59,76,0,44,6,1,1,False,1
2022,3328,322336177,39,57,B,Minor,63,34,86,26,0,21,39,3,1,True,1
2021,7215,1007612429,170,575,E,Major,70,42,54,30,0,37,5,3,2,False,1
2022,4440,326792833,81,133,G,Major,70,91,79,3,0,7,10,1,2,False,2
2022,2881,391251368,13,34,A,Minor,70,60,58,4,0,16,3,1,3,True,2
2022,2235,349585590,65,70,F,Major,60,45,47,62,0,31,5,1,2,False,1
2022,3711,339659802,49,62,A#,Minor,65,82,74,27,0,32,5,1,1,False,2
2021,12403,674772936,183,465,B,Minor,85,64,81,2,5,7,9,3,2,False,2
2021,2785,432719968,95,44,D,Minor,58,83,45,36,0,11,8,4,3,False,2
2021,14114,1309887447,252,965,G,Major,76,44,77,1,0,13,3,3,2,True,3
2022,1915,119238316,7,15,G,Minor,80,62,51,2,0,9,8,1,2,False,1
2022,2297,116903579,11,14,F#,Minor,74,35,73,0,0,21,5,1,2,False,1
2017,4375,888046992,24,396,B,Minor,67,50,67,15,0,30,4,3,2,False,5
2022,2800,200660871,18,61,G,Major,53,50,79,0,0,8,3,1,3,False,2
2021,2597,130655803,17,38,A#,Minor,70,35,77,1,0,26,4,3,2,False,2
2021,15563,1887039593,259,461,F#,Minor,56,68,66,28,0,11,18,2,3,True,2
2022,1420,88103848,7,7,C#,Major,41,27,64,36,0,60,3,1,3,False,1
2022,1292,101114984,3,14,E,Minor,49,49,59,44,0,35,21,1,1,False,1
2021,15867,1575467011,382,497,G#,Major,77,74,66,30,0,13,3,2,2,False,2
2022,1178,91656026,9,9,D,Major,75,85,84,10,0,31,19,1,2,False,1
2021,6672,1042568408,125,150,C#,Major,66,19,61,30,0,9,7,3,2,False,1
2020,12329,1735441776,275,738,G#,Minor,61,76,51,30,0,38,15,4,3,False,1
2019,5669,726837877,74,262,F,Minor,74,53,73,61,0,13,4,3,1,True,5
2022,811,53933526,1,6,A,Minor,27,10,49,62,0,49,5,1,1,False,1
2021,1756,267758538,38,20,D,Major,65,37,58,2,0,4,31,4,3,False,1
2022,1014,74601456,1,11,A,Minor,28,13,41,50,0,19,3,1,1,False,1
2021,7963,920797189,173,298,C#,Minor,74,55,85,1,0,5,22,4,1,False,1
2021,4771,539595276,68,75,C#,Major,68,72,78,4,0,7,5,4,1,False,1
2017,8559,1367810478,183,964,B,Minor,71,59,80,13,0,36,5,1,3,False,2
2020,3221,578207856,67,139,D,Major,75,36,76,12,0,10,10,4,2,True,1
2021,3423,775542072,61,53,E,Minor,64,14,70,9,0,9,8,4,3,True,2
2021,2566,863625566,44,131,C#,Minor,83,40,55,16,0,14,23,4,3,True,3
2021,9151,656013912,240,268,G,Minor,75,46,76,3,0,9,4,4,2,True,3
2021,8476,1056760045,138,283,G#,Major,31,31,24,76,0,14,4,3,1,False,3
2021,7495,611994237,114,284,E,Minor,56,16,67,0,0,11,4,4,2,True,3
2021,5257,1230855859,85,134,D#,Major,29,12,33,68,0,12,5,2,3,True,1
2021,1795,582981380,34,118,G#,Minor,59,69,61,84,0,46,36,4,3,False,1
2021,12685,1858144199,185,485,A#,Major,59,21,43,76,0,10,7,1,3,True,2
2021,648,240684449,14,81,F#,Minor,82,52,61,38,0,14,27,4,3,True,1
2021,4635,583687007,50,30,A#,Major,63,21,52,28,0,9,3,4,1,True,1
2022,1184,63803529,1,6,A#,Major,77,25,62,34,0,23,3,1,2,False,1
2021,4431,466214729,105,199,C#,Major,53,55,73,9,0,3,5,4,1,False,1
2022,759,236940480,32,12,F,Minor,70,61,44,40,0,37,4,1,3,True,5
2022,733,41924466,0,2,F,Minor,46,55,50,71,0,10,11,1,1,False,1
2021,2795,225259194,45,107,A#,Major,65,46,47,12,0,13,16,4,3,False,5
2021,2780,393230256,54,57,E,Minor,79,79,70,57,0,66,8,4,1,True,1
2021,1950,287201015,56,104,G,Major,40,7,29,62,0,9,3,1,1,False,1
2018,3947,599770206,33,93,D,Major,57,36,58,5,0,15,3,2,1,True,3
2021,2551,342779426,52,35,D,Major,83,11,41,0,0,36,14,4,1,False,1
2021,5375,673801126,138,133,C#,Major,73,79,86,42,0,7,18,3,3,True,1
2020,11975,1168642797,188,268,D#,Minor,81,57,63,40,1,10,4,4,2,True,2
2019,2696,540539717,42,57,G#,Major,58,44,60,44,9,5,6,3,2,False,1
2021,4963,383550148,63,76,D,Major,63,85,62,6,0,35,4,4,1,False,1
2020,6734,530511203,47,90,D,Major,77,40,47,2,0,9,3,2,1,False,1
2022,715,37307967,0,2,A#,Major,44,52,94,11,0,4,29,1,2,False,1
2021,3047,510876816,77,85,B,Minor,75,93,86,8,0,14,3,4,2,True,1
2021,14140,1445941661,231,612,B,Major,63,49,68,38,0,42,18,2,1,False,2
2020,11215,1763363713,189,525,E,Minor,73,14,57,40,0,11,5,4,2,True,3
2021,1678,374191487,20,15,C#,Minor,66,76,82,47,0,10,32,1,1,True,1
2022,2035,108809090,41,394,D,Minor,56,58,55,35,0,23,11,1,1,False,3
2021,2780,436695353,86,59,A,Minor,73,60,85,17,0,24,5,4,1,True,2
2021,4091,421040617,105,73,B,Minor,72,67,68,0,0,14,4,4,2,False,1
2020,2868,501541661,43,116,A,Major,70,57,49,19,0,12,8,3,1,False,1
2021,3643,354065229,69,70,C#,Minor,86,31,53,43,0,11,6,4,2,False,1
2021,4779,1143647827,180,223,G#,Major,79,70,36,0,0,6,11,2,2,True,3
2022,3517,311395144,54,43,C#,Minor,77,49,42,1,1,13,19,1,1,False,1
2021,5073,672656250,83,100,G#,Major,83,44,62,2,0,8,6,3,2,False,1
2021,7545,1256880657,117,141,A,Major,44,22,60,61,0,42,9,2,3,True,1
2020,8528,1692897992,239,583,F#,Minor,75,74,77,1,0,9,10,3,2,True,3
2021,2979,245095641,44,159,D,Major,74,39,65,5,1,11,35,4,3,False,5
2019,7731,686734357,110,447,D,Major,66,18,68,9,0,12,4,1,1,True,3
2021,1057,261414174,17,21,D,Major,67,78,63,29,0,12,5,4,1,False,1
2021,3272,610045621,101,70,F#,Major,66,63,69,21,0,11,7,3,3,True,1
2021,14417,1115880852,237,569,F,Major,59,72,62,18,0,9,3,2,3,False,3
2021,5199,594482982,45,45,F,Minor,85,22,37,13,0,7,30,4,3,False,1
2021,6026,566954746,171,187,B,Minor,77,51,79,20,0,26,6,3,2,False,1
1970,2877,213427660,16,54,A,Major,53,75,69,7,0,17,3,1,2,False,5
2021,4640,374706940,81,507,B,Minor,77,82,30,95,0,13,5,4,3,True,2
2021,1150,184937148,20,12,C#,Major,59,56,63,12,0,6,36,4,3,False,1
2022,768,31959571,1,3,A,Minor,46,23,48,75,30,14,4,1,2,False,1
2021,925,167076418,24,74,G#,Major,42,47,36,76,0,9,5,4,1,False,1
2015,3006,824420218,23,121,A,Major,35,41,94,0,63,5,5,2,3,True,1
2021,3098,363467642,111,182,A#,Major,77,51,79,5,0,16,5,4,2,False,1
2015,9771,1127468248,42,384,A#,Major,59,33,52,7,15,12,3,4,1,True,2
2022,807,60680939,3,5,C#,Major,68,29,73,0,0,7,7,1,3,False,5
2021,521,247737946,17,11,A,Major,83,59,73,6,0,5,11,1,2,True,2
2020,12854,1699402402,237,636,G,Minor,70,76,72,22,0,27,4,3,1,False,1
2021,802,154797871,13,8,E,Major,72,54,71,26,0,10,4,4,2,False,1
2021,731,198883004,14,24,F,Major,86,86,79,11,0,8,9,4,2,False,1
2022,788,124407432,13,32,A#,Major,63,31,35,93,0,29,3,1,2,False,5
2021,3069,850608354,25,105,F#,Major,39,36,45,81,0,8,13,2,3,True,1
2021,4651,376333030,24,105,C#,Major,80,21,55,1,0,26,17,3,2,False,1
2021,4999,516784627,43,73,G#,Minor,91,79,66,32,0,9,16,3,1,False,1
2019,8327,1608045237,205,625,D#,Major,45,19,60,63,0,9,6,4,2,True,3
2020,3297,506778838,25,52,D,Major,79,56,91,26,0,13,21,1,3,True,1
2010,35684,1472799873,195,"6,280",G#,Major,73,52,76,13,0,5,3,4,1,True,3
2021,3506,513643924,103,100,F,Major,76,63,77,14,0,15,22,3,3,True,2
2021,2999,261286503,60,154,G,Minor,96,71,42,57,0,8,9,1,2,False,1
2021,3681,783706581,20,99,A,Major,40,19,29,86,0,34,4,2,3,False,1
2021,4846,422691058,54,259,C#,Major,67,40,90,3,0,34,6,2,1,True,1
2020,14311,1062345656,255,582,G#,Minor,80,24,62,41,2,11,23,1,2,False,1
2020,8207,1252563873,175,95,A,Major,73,66,80,44,0,9,12,4,3,False,2
2021,4873,851070493,65,434,C#,Major,75,96,61,0,0,18,4,2,3,False,2
2021,772,263894529,7,89,G#,Minor,46,62,83,53,0,97,28,4,3,False,1
2021,1150,345903614,20,44,A,Major,81,92,90,9,0,8,7,4,2,False,2
2020,5398,951637566,111,210,F,Major,61,59,46,56,0,13,5,1,2,True,3
2016,7370,956865266,92,"1,219",G,Major,74,45,89,5,0,26,13,4,1,False,3
2021,6890,427486004,122,201,G#,Minor,79,79,84,2,0,5,5,3,2,False,1
2016,1966,156658366,4,50,E,Minor,73,31,45,85,24,11,3,2,1,False,1
2021,2226,624515457,29,44,F#,Minor,78,65,52,46,0,12,31,2,3,False,5
2017,4204,777765388,39,250,G,Major,60,11,33,90,0,8,5,2,2,False,1
2021,1959,412795151,19,38,A,Major,45,12,57,7,0,23,3,3,1,False,5
2019,7191,1138474110,146,478,E,Minor,78,47,70,18,0,15,9,1,3,False,1
2021,2012,355219175,101,38,G#,Major,76,58,84,10,0,13,10,4,1,False,1
2021,1211,290228626,30,5,F#,Major,63,76,67,38,0,6,4,3,1,True,1
2010,7109,1062956628,5,862,C#,Minor,52,7,61,51,0,11,3,4,3,True,5
2020,6638,1180094974,167,318,E,Major,64,8,37,79,0,9,5,2,2,False,1
2014,17354,1456081449,92,"1,282",F#,Major,53,66,85,2,0,24,4,1,2,True,3
2021,6392,432702334,174,344,G#,Major,75,53,74,2,0,11,5,3,2,False,2
2021,5481,489945871,144,86,B,Minor,80,33,60,0,0,32,14,4,3,False,1
2021,2636,465959382,36,39,A,Minor,77,26,63,58,0,11,5,3,1,True,2
2021,824,1223481149,8,8,G,Major,73,54,74,23,0,41,23,4,1,False,1
2019,24529,2864791672,533,"3,595",F#,Minor,82,54,59,69,0,18,10,2,1,False,3
2017,14749,2288695111,188,710,B,Minor,44,22,48,38,0,33,24,3,1,False,1
2021,8087,720825549,92,131,G#,Major,89,77,82,3,0,17,11,1,1,False,1
2013,27221,2086124197,308,"4,534",G#,Major,42,33,26,92,0,13,3,3,2,False,3
1991,49991,1690192927,265,"12,367",C#,Major,52,73,91,0,0,11,7,4,2,True,3
2019,6646,991336132,107,584,A,Minor,45,27,33,82,0,14,4,2,1,False,1
2021,5403,593917618,118,96,C#,Major,67,29,47,5,0,22,26,4,3,True,3
2021,755,200972675,22,0,C#,Major,52,68,69,13,0,33,8,4,1,True,1
2022,254,71014967,0,23,G#,Major,41,65,88,0,0,26,5,1,3,False,1
2021,6308,560222750,114,63,C#,Major,71,14,61,1,0,23,33,3,3,True,1
2003,51979,1806617704,306,"5,063",C#,Major,35,24,93,0,0,10,8,4,3,True,2
2022,246,77337771,2,10,E,Minor,60,40,89,9,0,60,6,1,2,False,1
2021,6556,528544703,93,67,F#,Minor,74,79,66,11,0,8,16,3,3,False,1
2019,5728,865640097,85,179,B,Major,75,19,46,21,4,34,8,4,1,False,2
2018,16636,2159346687,368,"2,854",G,Major,57,30,40,38,0,26,3,4,1,True,3
2022,461,211372494,10,17,G,Minor,74,65,67,46,0,36,4,1,3,False,2
2021,4893,651732901,143,110,G,Major,72,67,72,0,0,13,4,2,2,True,1
2021,1801,608334048,77,74,A,Major,70,65,74,1,0,34,4,3,2,True,3
2021,12043,863756573,209,710,D,Major,82,80,86,1,0,30,13,1,2,False,2
2021,4731,797402345,141,78,F#,Major,79,44,54,41,0,13,24,2,1,False,1
2002,22923,1695712020,78,"2,515",C#,Major,55,10,85,7,0,8,20,2,3,False,1
2019,9974,1759567999,272,"1,066",B,Major,77,60,32,84,0,8,5,4,1,True,2
2021,1560,223319934,72,0,G,Minor,56,61,76,10,0,14,11,3,1,False,5
2022,620,54937991,17,3,F,Minor,90,74,54,16,0,13,28,1,2,False,1
2021,3270,226897599,89,65,A,Major,69,70,89,4,0,49,3,1,2,False,1
2021,580,258316038,24,93,F#,Minor,80,62,69,28,0,13,7,4,2,False,2
